nazev;tag;proces;kategorie;ulice;cp;psc;kontakt
VIDEO klinik, spol. s r.o.;domacnost;opravit;oprava spotřebičů;Veveří;551/4;60200;http://www.videoklinik.cz/
Zákaznícke centrum Samsung;domacnost;opravit;oprava spotřebičů;Město Brno;686/9;60200;https://www.escsk.eu/servis/
Janeko S.r.o.;domacnost;opravit;oprava spotřebičů;Rybkova;948/23;60200;http://www.janeko.cz/
iLoveServis Brno;domacnost;opravit;oprava spotřebičů;Dornych;;60200;https://www.iloveservis.cz/
mobily-servis.cz;domacnost;opravit;oprava spotřebičů;Údolní;400/36;60200;http://www.mobily-servis.cz/
OPRAViPHONE.CZ;domacnost;opravit;oprava spotřebičů;Lidická;694/7;60200;https://www.opraviphone.cz/
DUK-PC.COM - Servis notebooků;domacnost;opravit;oprava spotřebičů;Slovákova;;60200;https://www.duk-pc.com/
MacPodpora Brno;domacnost;opravit;oprava spotřebičů;Zábrdovice;153/27b;60200;https://macpodpora.cz/
Servis notebooků;domacnost;opravit;oprava spotřebičů;Staré Brno;402/10;60200;https://www.brno.notebooksupport.cz/
Servis notebooků R-PASS s.r.o.;domacnost;opravit;oprava spotřebičů;Milady Horákové;;60200;https://www.r-pass.cz/servis-notebooku-brno/
Jitka;textil;opravit;oprava oděvů;Milady Horákové;10;60200;
EXPRES OPRAVY;domacnost;opravit;oprava spotřebičů;Trnitá;1;60200;
Galard;textil;opravit;oprava oděvů;Údolní;552;60200;
Dr Kaufmann;domacnost;opravit;oprava spotřebičů;Čápkova;7;60200;
Opravna obuvi a tašek Helena Zemanová;textil;opravit;oprava obuvi;Gorkého;;60200;
Brašnářství a obuvnictví;textil;opravit;oprava obuvi;Antonínská;554/7;60200;
Café Fresh - Bistro U Jakoubků ;potraviny;nakoupit udržitelně;eko-obal;Botanická;55/57;60200;https://www.facebook.com/CafeFreshBotanicka
Rebelbean Vlněna;potraviny;nakoupit udržitelně;eko-obal;Přízova;526/5;60200;https://www.facebook.com/rebelbeanvlnena/
Perfect Canteen - Grand Kitchen Vlněna BRNO;potraviny;nakoupit udržitelně;eko-obal;Přízova;526/7;60200;https://www.perfectcanteen.cz/nase-kantyny/grand-kitchen-vlnena
Carlini;potraviny;nakoupit udržitelně;eko-obal;Smetanova;283/12;60200;https://carlini.cz/
